"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"56","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","267","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"57","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","290","19","StdCyclomaticComplexity","The method 'refreshAllFlowVersions' has a Standard Cyclomatic Complexity of 16.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"58","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","290","19","CognitiveComplexity","The method 'refreshAllFlowVersions()' has a cognitive complexity of 20, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"59","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","290","19","CyclomaticComplexity","The method 'refreshAllFlowVersions()' has a cyclomatic complexity of 17.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"60","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","290","19","NcssMethodCount","The method 'refreshAllFlowVersions()' has an NCSS line count of 47 (limit: 40)","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#ncssmethodcount","Design","pmd"
"61","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","364","17","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"62","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","412","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"63","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","428","50","AvoidNonRestrictiveQueries","Avoid SOQL queries without a where or limit statement","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_performance.html#avoidnonrestrictivequeries","Performance","pmd"
"64","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","440","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"65","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","482","19","CyclomaticComplexity","The method 'reanalyzeFlow(String)' has a cyclomatic complexity of 12.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"66","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","504","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"67","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","504","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"68","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","533","20","CognitiveComplexity","The method 'fetchFlowMetadataWithNamedCredential(String)' has a cognitive complexity of 22, current threshold is 15","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cognitivecomplexity","Design","pmd"
"69","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","533","20","CyclomaticComplexity","The method 'fetchFlowMetadataWithNamedCredential(String)' has a cyclomatic complexity of 13.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"70","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","549","27","ApexSuggestUsingNamedCred","Suggest named credentials for authentication","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexsuggestusingnamedcred","Security","pmd"
"71","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","569","21","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"72","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","579","25","AvoidDeeplyNestedIfStmts","Deeply nested if..then statements are hard to read","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#avoiddeeplynestedifstmts","Design","pmd"
"73","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","671","11","EmptyCatchBlock","Avoid empty catch blocks","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_errorprone.html#emptycatchblock","Error Prone","pmd"
"74","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","681","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"75","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","682","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"76","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","683","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"77","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","684","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"78","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","685","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"79","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","686","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"80","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","687","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"81","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","688","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"82","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","689","29","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"83","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardController.cls","691","16","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"84","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","135","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"85","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","156","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"86","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","157","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"87","3","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","158","9","ApexAssertionsShouldIncludeMessage","'System.assertEquals' should have 3 parameters.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#apexassertionsshouldincludemessage","Best Practices","pmd"
"88","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","166","65","UnusedLocalVariable","Variable 'result' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
"89","5","/Users/spasumarty/Documents/PersonalOrg/force-app/main/default/classes/FlowAnalysisDashboardCtrlTest.cls","236","20","UnusedLocalVariable","Variable 'jobId' defined but not used","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_bestpractices.html#unusedlocalvariable","Best Practices","pmd"
